part_de,part_en,damage_de,damage_en,part_p1,part_p1_en,part_p2,part_p2_en,action,action_en
Karosserie,body,Saeule rechts (Folgekosten moeglich.),Satoele right (follow-up costs possible.),Lehnenbezug links,Lehnkeeping link left,Lackveraetzung.,Lacquer of paint.,Diagnose durchfuehren,Perform diagnosis
Schweller rechts,Slighter right,faellig,due,Griff innen,Handle inside,Sommerreifen. Reifenverschleiß einseitig aussen.,Summer tires. Tire wear on one side outside.,entkleben/neutralisieren,Lifting / Neutralizing
2.Radsatz,2nd wheelset,verschmutzt,dirty,Reifen hinten rechts,Tire rear right,"Staubeinschluesse,orangenhaut,Schleifspuren.","Dust inclusion, orange skin, grinding tracks.",de,de
Sonstiges,Others,poroes / rissig,Poroes / cracked,Reifen hinten links,Tire rear left,auf Radlaufkante. Folgekosten moeglich.,On cycling edge. Subsequent costs possible.,entfernen,remove
Interieur,interior,Spiel,game,"Heckklappe (Zinkplatzer, Dellen.oberhalb Kennzeichen","Tailgate (zinc place, dents. Nangle",Kante vorne. Folgekosten moeglich.,Edge front. Subsequent costs possible.,einstellen/justieren,Set / adjust
Motor,engine,defekt,malfunction,"Heckdeckel, Innenverkleidung","Rear cover, interior cladding",mittig. Folgekosten moeglich.,Center. Subsequent costs possible.,Ozonbehandlung,Ozone treatment
Kotfluegel rechts,Right fender,fehlt,is missing,Abdeckkappe,Cap,Lackmangel. mittig teillackieren,Paint deficiency. lacerate,verkratzt / verschuerft,scratched / shot
Vorderachse,Front axle,lose,loose,Seitenwand,Side wall,Lackmangel.,Paint deficiency.,Politur/Innenraumreinigung,Polish / interior cleaning
Fahrerhaus,Cab,beklebt/ beschriftet,Cotted / labeled,Fahrzeugschluessel m. Fernb.,Vehicle key m. Fernb.,Folgekosten moeglcih.,Follow-up costs Moeglcih.,verschmutzt,dirty
Instrumententafel,dashboard,abweichend Auslieferungszustand,Deviating delivery state,Antenne,antenna,und hinten rechts. Folgekosten moeglich.,and right right. Subsequent costs possible.,Kratzer,scratch
Kraftstoffanlage,Fuel system,Loecher,Lid,Stossfaenger hinten links,Stossfainer rear left,"Staubeinschl.,orangenh.Schleifen/Polieren. Folgekosten moegl.","Dust lock, orangenh. Grinding / polishing. Follow-up costs Moegl.",beschaedigt,damaged
Lenkanlage,Steering system,Brandloch,Fire hole,Reifen vorn,Tire front,"mitte, silber lackiert.","Middle, silver painted.",verschlissen,worn
Heckbereich,Tail area,Funktion / Zulaessigkeit,Function / Alliance,Frontscheibe,Windscreen,"Tragbild, Korrosion, eingelaufen.","Load picture, corrosion, run.",nicht fachgerecht instandgesetzt,not professionally repaired
elektrisches System,electrical system,elektrischer Fehler,Electrical error,Verkleidung,Cladding,Chromabloesung.und HR.nur kpl. mit Scheibe erhaeltlich.,Chromablösung.und Hr.Nur Kpl. With disk charged.,Steinschlag,Rockfall
Sitz hinten,Seat back,leuchtet,shines,Radlauf,Bike,Risse. Folgekosten moeglich.,Cracks. Subsequent costs possible.,Brandloch,Fire hole
elektronische Systeme,Electronic systems,undicht,leaky,Dach,roof,2x,2x,instandsetzen lt. Kalkulation,Repair according to calculation
Blinkleuchte,Flashing light,Geruch,odor,Schutzleiste Mitte,Protective board center,Ganzjahresreifen. Nabendeckel.,All-season tires. Hub cap.,gebrochen / gerissen,Broken / torn
Außenspiegel links,Exterior mirror left,Saeule rechts,Satoele right,Spiegelgehaeuse,Mirrorshop,Zinkplatzer. Kante unten.,Zinc place. Edge below.,Oberflaechenlack,Surface
Scheinwerfer,Headlight,unvollstaendig,incomplete,Schachtleiste außen,Shaft strip outside,Ganzjahresreifen.,All-season tires.,fehlt,is missing
Nebelleuchte,Fog light,None,None,Heckklappe (oberhalb Kennzeichen,Tailgate (above indicator,"Tragbild,Korrosion,eingelaufen,Riefenbildung.","Load picture, corrosion, run, called.",defekt,malfunction
Heckleuchte,Tail light,Saeule rechts Verkleidung innen,Seate right panel inside,Schutzleiste rechts,Protective strip right,Orangenhaut,Orange,Hagelschaden,Hail damage
Getriebe,transmission,entspricht nicht den Leasingvorgaben,Does not match the leasing specifications,Seitenscheibe hinten links,Side window rear left,"Abklebek sichtb,Staubeins.Schleifen/polieren.Folgek. moegl.","Adhesive box Visible, dust set / grinding / polishing. Moegl.",faellig,due
Motorkuehlung,Engineering,Saeule links Verkleidung innen,Saeule Left Fairing Inside,Radblende vorn rechts,Blend front right,Sommerreifen. Risse Aussenflanke.,Summer tires. Cracks outer flank.,Lackmangel,Lack of paint
Multimediasystem,Multimedia system,Schicht Lack/vorbehaltlich Folgekosten),Layer paint / subject to follow-up costs),Radblende hinten rechts,Wheel cover rear right,"Schleifsp,Staubeinschl.Schleifen/Polieren.Folgek. moeglich.","Schleifsp, Dust Close / Grinding / Polishing. possible.",vermessen,measure
Scheibenreinigung,Washer cleaning,Schicht lack/vorbehaltlich Folgekosten),Layer paint / subject to follow-up costs),Einstieg,Started,mit Rissbildung.,with cracking.,verformt,deformed
Schiebetuer rechts,Sliding on the right,Saeule rechts (2),Saeube right (2),Stossfaenger hinten Mitte,Stoss Fenger rear center,"Chromleiste. Chromabloesung, verformt.","Chrome bar. Chromium balance, deformed.",ohne Funktion,without function
Gurtsystem vorn,Gurtsystem front,Befund festlegen,Define findings,Heckscheibe,rear window,"Sommerreifen. Farbunterschiede, Lackmangel.","Summer tires. Color differences, paint deficiency.",beklebt/ beschriftet,Cotted / labeled
Klimasystem,Climate system,Verschleissgrenze von 4mm unterschritten),Wear limit of 4mm undercut),Karosserie,body,"Staubeinschl.,Orangenh.Schleifen/Poileren.Folgekosten moegl.","Dust closer, orangeh.schreneifen / Poileren.can costs Moegl.",abweichend Auslieferungszustand,Deviating delivery state
Gurtsystem hinten,Belt system rear,Teilfunktion,Partial function,Tuerverkleidung vorn links,Tower trim front left,orangenhaut.Schleifen/Polieren.Folgekosten moeglich.,Orange skin. Grinding / polishing. Expenses possible.,Loecher,Lid
Heizungssystem,Heating system,ohne Funktion,without function,1 Leichtmetallfelge,1 light metal rim,Sommerreifen. Riss Aussenflanke.,Summer tires. Ripped outer flank.,lose,loose
Vermessung,measurement,Saeule links,Satoe Links,Inspektion/Wartung,Inspection / Maintenance,"Lack wellig, Staubeinschluesse, orangenhaut.","Lacquer wavy, dust inclusion, orange skin.",Kostenvoranschlag erforderlich,Quotation required
Abgasanlage,Exhaust system,Anschlussdose,Junction box,A,A,OElwechsel,Oil change,"Design),)","Design),)"
Anhaengerkupplung,Trailer hitch,unzulaessig,inadmissible,Reifen vorn rechts,Tire front right,seit 06/2019.,since 06/2019.,Folgekosten moeglich),Subsequent costs possible)
Airbagssystem,Airbag system,Saeule rechts (Verkleidung aussen),Seate on the right (outside trim),Laderaumabdeckung / Rollo,Carrying room coverage / rollo,Lackveraetzung.Schleifen/Polieren.Folgekosten moeglich.,Paint accompanying. Grinding / polishing. Expenses possible.,Fehlstellung,Miss
Unterlagen,documents,Felge poliert.),Rim polished.),Reifen vorn links,Tire front left,"Schleifspuren, Farbunterschied","Grinding traces, color difference",repariert,repaired
Schiebetuer links,Sliding door left,Folgekosten moeglich),Subsequent costs possible),Windlauf links,Windscare left,"Orangenhaut, Farbunterschied","Orange skin, color difference",3 Felgen),3 rims)
Zusatzleuchte,Auxiliary light,teillackieren),Partial paint),Innenraum,inner space,Vorne rechts,Front right,Folgekosten moegl),Follow-up costs Moegl)
Regaleinbauten,Shelf,Saeule Innenverkleidung/vorbehaltlich Folgekosten),Saeube interior paneling / subject to follow-up costs),Motor,engine,Gesamte Vorderachse,Entire front axle,Reif. mit Polymerb.),Ripe. with polymer b.)
Gurtsystem Fahrgastraum,Gurtsystem passenger compartment,Kruemmer (Rohr AGR),Kruemmer (tube EGR),Bremsfluessigkeit,Brake fluid,"Lackmangel, Steinschlaege","Paint deficiency, stone slides",Abrieb,Abrasion
Hinterachse,Rear axle,tuer,door,Heckspoiler,Tailpoiler,Mehrere Steinschlaege,Several stone slides,entspricht nicht den Leasingvorgaben,Does not match the leasing specifications
Antriebsstrang,Powertrain,15 kleine Dellen),15 small dents),Fußmatten,Foot mats,06/2020,06/2020,Funktion / Zulaessigkeit,Function / Alliance
Pedalanlage,Pedal system,Saeule rechts (Zierleiste),Saeube right (trim),Kotfluegel rechts,Right fender,Mit Rissbildung,With cracking,kein Nachweis,no proof
Festpreis,Fixed price,24 Tagen.),24 days.),Stossfaenger vorn rechts,Shock Fenger in front right,Und hinten rechts,And right right,,
,,gehoert nicht zum Ausstattungsumfang),Does not belong to the scope of equipment),Querlenkerlagerung links,Wishbone bearing left,Bremsscheiben Innenseite/Riefenbildung/ Korrosion,Brake discs inside / shouting / corrosion,,
,,Geraeusch,Noise,Laderaumverkleidung links,Carrying lines left,5.202,5202,,
,,Sichtschutz),Protected protection),Laderaumverkleidung rechts,Carrying holes on the right,Mattlack,Matt lacquer,,
,,Anschlussdose (Feder Deckel Anschlusdose),Junction box (spring cover connection box),Tuerverkleidung vorn rechts,Tower trim on the right,seit 08.2019,since 08.2019,,
,,Saeule links Verkleidung innen (Delle),Saeule Links Fairing Interior (Delle),Tuerverkleidung hinten rechts,Tower cover rear right,Halter,holder,,
,,Rueckstaende),Refrecking),Rueckstrahler rechts,Rueckstrahler right,Rechts,Right,,
,,Saeule rechts (Auslegen),Seate on the right (exitting),Verkleidung Standard oben,Cladding standard above,Flugrost,Ridge,,
,,225/55R17 SL 97W),225 / 55R17 SL 97W),Kniestueck,Knee,Toenungsfolie,Tough,,
,,Saeule rechts Verkleidung innen (Und links),Seate right panel inside (and left),Tankdeckel,Tank cap,Und hintere Seitenscheiben,And rear side windows,,
,,Saeule links (Blende unten),Satoe Links (beef below),Griff außen,Handle outside,Toenung,Tint,,
,,Saeule links unten,Seate on the bottom left,Radblende vorn links,Blend front left,Scheibenfolie hinten,Disc foil rear,,
,,Saeule rechts (Innen),Saeube right (inside),Antennenstab,Antenna rod,und rechts,and right,,
,,Saeule links (Innen),Satoe Links (inside),Stuetze,Support,Verschmutzt und Geruch,Polluted and smell,,
,,15 Dellen),15 dents),Kofferboden,Suitcase,Beim entkleben kann es zu Folgeschaeden kommen,"When filed, it can lead to folic",,
,,Saeule links (Mehrere),Satoe Links (several),Radblende hinten links,Wheel cover rear left,Toenungsfolie beschaedigt,Damaged,,
,,Knick),Kink),Antenne GPS,Antenna GPS,Motorkontrollleuchte leuchtet permanent,Motor controller lights permanent,,
,,Saeule rechts (Folgekosten moeglich),Saeube right (follow-up costs possible),Tuerverkleidung hinten links,Taper trim rear left,GS,GS,,
,,Reifen),Tires),Verkleidung Standard unten,Cladding standard below,Tuerkante,Tuer,,
,,Einseitig Abgefahren),One-sided trapped),Verglasung,glazing,Ca. 40 Dellen,About 40 dents,,
,,Saeule links (3x),Satoe Links (3x),Unterbodenverkleidung,Underbody trim,Gehoert nicht zum Ausstattungsumfang,Does not belong to the scope of equipment,,
,,Saeule rechts (Einstiegsbereich),Satoe's right (entry area),Laderaumboden,Loader floor,Und Steinschlaege,And stone slides,,
,,unrunder Lauf,outrage,Bremsbelaege hinten,Brake pads behind,2 Dellen,2 dents,,
,,Doppelspeichen,Peak,Spiegel links,Spiegel left,12 Dellen,12 dents,,
,,"13 Tage, Bestand Dienstleistungpaket Kunde)","13 days, inventory service package Customer)",Teppichboden vorn links,Carpet front left,Jaehrlich,Yearly,,
,,befunden,finding,Dachholm links,Dachholm left,Extremer Farbunterschied,Extreme color difference,,
,,Verschleissgrenze von 4mm erreicht),Controlling limit of 4mm reached),Sitzbezug links,Seat cover left,Schleifspuren und Lackeinschluesse,Grinding tracks and paint influence,,
,,GS),GS),Leuchtmittel links,Bulb links,Reifen v.l. + h.l.,Tire V.L. + H.L.,,
,,Scheinwerfer rechts,right headlight,Spiegel rechts,Mirror right,polieren,polishing,,
,,99 Tage),99 days),Kofferraumverkleidung,Trunk cladding,Kratzer,scratch,,
,,einseitig abgefahren),One-sided trapped),Nebelleuchte vorn rechts,Nebelluche front right,beschaedigt,damaged,,
,,4500 km),4500 km),Dachholm rechts,Dachholm right,Trocken legen und pruefen,Lay dry and check,,
,,Saeule links (Schild Reifendruck),Satoe Links (Shield Tire Pressure),Verkleidungen/Abdeckungen,Clothes / covers,Chrom links,Chrome left,,
,,kein Nachweis),No proof),1 Reifen,1 tire,Ohne Runflat + beschaedigt. Reifen vorne.,Without Runflat +. Tire front.,,
,,"S Reifen, falscher index)","S tires, false index)",Bremsbelaege vorn,Brake pads in front,Dellen und,Dents and,,
,,Volt Dose im Kofferraum),Volt can in the trunk),2 Reifen,2 tires,verkratzt,scratch,,
,,Saeule links/dachhimmel),Saeube left / headliner),Sonnenblende rechts,Sun visor right,Kratzer und,Scratch,,
,,Saeule links (Folgekosten moeglich.),Saeule left (follow-up costs possible.),Tuerkante,Tuer,Flugrost und Delle,Flock and delle,,
,,rahmen),framework),Lehnenbezug rechts,Backrest cover right,3,3,,
,,Saeule rechts Verkleidung innen (Abdeckung),Seate right paneling inside (cover),Drucksensor,Pressure sensor,Verschuerft und,Shuffled and,,
,,Saeule rechts Verkleidung innen (+ links),Seate right fairing inside (+ left),Schweller,Sill,nur OElwechsel,Only oil change,,
,,Fernbedienung o.F. Batterie),Remote control O.F. Battery),Felgensatz komplett,Rim set complete,Delle und,Delle and,,
,,Stopp/Motorkontrollleuchten,Stop / motor tuning lights,Heckleuchte rechts,Tail light right,4x,4x,,
,,Saeule links (Einstiegsbereich),Satoe Links (entry-level area),2 Leichtmetallfelgen,2 alloy wheels,Links,Left,,
,,Kanal (Unterdruckschlaeuche),Channel (vacuum locks),Raddeckel,Wheel cover,Lose,Loose,,
,,Service),Service),Scheinwerfer rechts,right headlight,2 Reifen,2 tires,,
,,33 Tage),33 days),2.Radsatz,2nd wheelset,Steinschlaege,Stone slides,,
,,Saeule rechts),Satoe's right),Schaltereinheit,Switch unit,"Freibremsen, Standschaden","Free brakes, stand damage",,
,,Fremdkoerper eingefahren,Fremdkerper retracted,Armlehne Sitz links innen,Armrest seat left inside,Beklebung entfernen,Remove,,
,,Saeule rechts Verkleidung innen (und links),Seate right panel inside (and left),D,D,Delle,Delle,,
,,Saeule links (mit Korrosion),Satoe Links (with corrosion),Stirnwandverkleidung,End-wall panel,dichter Steinschlag,denser,,
,,Auftrag vorhanden),Order available),Fahrzeugschluessel,Vehicle key,Materialabtrag,Material removal,,
,,Staubeinschuesse),Staubinschuesse),Dachreling links,Roof railreling left,Blaettert ab,Blade,,
,,Lack matt),Paint Matt),Hecktuer links,Hecktuer left,Inkl. Unterbodenschutz/Vorbehaltlich Folgekosten,Incl. Underbody protection / Subject to follow-up costs,,
,,re),re),Tuerdichtung,Gasket,Hinten,Rear,,
,,/Kratzspuren),/ Scratch marks),Frontscheibe mit Regensensor,Windscreen with rain sensor,Auslegen,Lay out,,
,,R),R),Radblendensatz komplett,Wheel cover set complete,Kofferraum links,Trunk left,,
,,auslegen und polieren),Layout and polishing),Lufteinlassgitter,Air intake grille,Staubeinschluesse,Dust,,
,,Fuehrungsschienen),Fuel rails),Tuerdichtgummi links,Tuerdichtgummi left,Lackoberflaeche mangelhaft,Paint surface poor,,
,,Ausstattung),Furnishing),Frontscheibe mit Spurhalteassistent,Windscreen with lane support assistant,Knick,Knick,,
,,Saeule rechts (mit Korrosion),Satoele right (with corrosion),Reifensatz komplett,Tire set complete,OElwechsel faellig,Oil change Faellig,,
,,Einschluesse),Sleep),Tuer (3,Door (3,Stossfånger unten. Strukturiert,Stossfånger below. Structured,,
,,Saeule),Pillar),Zierleiste / Dekorleiste,Trim / decorative strip,Anaetzung,Obsolete,,
,,15mm),15mm),Sitzbezug rechts,Seat cover right,Staubeinschluesse im Lack,Dust inclusion in the paint,,
,,Silikonloch),Silicone hole),Domlager links,Domlager left,Profiltiefe zu gering,Profile depth too low,,
,,Saeule rechts Verkleidung innen (Fuehrung Laderaumrollo),Saeube right paneling inside (fuel loader blind),Blende Stossfaenger vorn,Aperture shotfaenger front,Zierleiste,Trim,,
,,/klebeartig),/ Adhesive),Emblem,emblem,Motoroelwechsel,Motor oil change,,
,,gerissen),cracked),Hutablage,Haulage,innen,Inside,,
,,gebrochen),Broken),Schiebetuer,Sliding door,Kantenschutz,edge protection,,
,,Flat montiert),Flat mounted),Sitz links,Seat left,mit Rissbildung,with cracking,,
,,Stop),Stop),Verkleidung Ladekante,Fairing loading edge,Basislack beschaedigt,Basic lacquer,,
,,Winterreifen),Winter tires),Motoroelwanne,Motor oil,"Orangenhaut, Lacklaeufer","Orange skin, Lacklaeufer",,
,,Saeule rechts (Korrosion),Saeube right (corrosion),Nebelleuchte vorn links,Nebelluche front left,"Lacklaeufer, Orangenhaut","Paintlaeufer, orange skin",,
,,ohne OElwechsel),Without oil change),Zierleiste oben,Original strip top,"Orangenhaut, Lackeinschluesse","Orange skin, paint influence",,
,,und Ruecklicht pruefen),and check light Pruefen),Zierleiste unten,Trim down,Beleuchtung,lighting,,
,,Saeule rechts (Windlaufverkleidung),Satoele right (windscreviat),1 Radblende,1 wheel cover,Nicht Bestandteil der Ausstattung,Not part of the equipment,,
,,Saeule rechts (groesser 2mm),Seate on the right (bigger 2mm),Sicherheitsgurt vorn links,Seat belt front left,OElservice,Oelservice,,
,,Saeule links (Leiste),Satoe Links (strip),C,C,Abklebekante,Masking,,
,,u. Außenspiegelverstellung),u. outside mirror adjustment),Tankklappe,Tank flap,18 Zoll nicht Bestandteil der Ausstattung,18 inches not part of the equipment,,
,,Verschleissgrenze von 4mm erreicht/ unterschritten),Wear limit of 4mm reached / undercut),Heckleuchte links,Tail light left,Mehrere Lackmaengel Lackbild schlecht,Several varnish gel paint picture bad,,
,,Folgekosten moeglich!),Follow-up costs possible!),Sonstiges,Others,hi li,Hi,,
,,auslegen/polieren),Lay out / polish),Fangband / Feststeller,Fang band / lock,Clip gebrochen erneuern,Renew clip broken,,
,,statt Sommerreifen montiert),Instead of summer tires mounted),Zusatzbremsleuchte,Auxiliary brake light,im Sichtfeld mit Blendwirkung,In the field of view with glare,,
,,Saeule rechts (Polierspuren),Saeube right (polishing tracks),Hecktuer rechts,Hecktuer right,Winterreifen statt sommerreifen,Winter tires instead of summer tires,,
,,Felge poliert),Rim polished),Motorabdeckung oben / Blende,Motor cover up / aperture,glaenzt,glared,,
,,verformt),deformed),Rueckstrahler links,Refreckstrahler left,Lehnenverkleidung,Lining,,
,,Bericht.),Report.),Getraenkehalter hinten,Drawele rear,Vorne,In front,,
,,Saeule links (Verkleidung),Satoe Links (fairing),Reifen vorn (Winter,Tire front (winter,Leichte Verformung/vorbehaltlich Folgekosten,Easy deformation / Subject to follow-up costs,,
,,Saeule rechts (Eckplanke rechts),Saeube right (corner plank right),Leichtmetallfelgensatz komplett,Alloy wheel set complete,Halterung links,Bracket left,,
,,Scheinwerfer links,left headlight,Trennwand,partition wall,Inkl. Tuerkante,Incl. Turkante,,
,,Saeule rechts (Hohe Anzahl an Steinschlaegen),Saeube right (high number of stone slouses),Zierleiste Mitte,Trim center,Inkl. Kratzer,Incl. Scratches,,
,,2600km),2600km),Sitzpolster links,Seat pad left,Inkl. Steinschlaege,Including stone slides,,
,,Saeule links (Lacknebelrueckstaende.Schleifen/Polieren.Folgekosten moeglich),Seate Links (Paint fog locking). Grinding / Polishing. Expenses possible),Reifensatz komplett (Winter,Tire set complete (winter,Inkl. Rissbildung,Incl. Cracking,,
,,lose),loose),Haltegriff,Grab handle,Tuere vr,Tuere VR,,
,,Saeule links (Vogelkot),Satoe Links (Bird Cot),Schutzleiste B,Protective strip B,links,Left,,
,,Teile/vorbehaltlich Folgekosten),Parts / Subject to follow-up costs),Fensterfuehrung,Windows,Steinschlag mit Rissbildung,Rockfall with cracking,,
,,Anschlussdose (Deckel/vorbehaltlich Folgekosten),Junction box (lid / subject to follow-up costs),Bremsscheiben vorn und hinten,Brake discs front and rear,OElverlust,Oil loss,,
,,und Geschwindigkeitsindex),and speed index),Motorverkleidung unten,Engine trim below,Farbunterschied und Schleifspuren,Color difference and grinding tracks,,
,,Schadensnummer: AS2020,Damage number: AS2020,Bremsscheiben hinten,Brake discs rear,verformt,deformed,,
,,114 Tage),114 days),Bremsscheiben vorn,Brake slices front,Sommerradsatz,Summer wheelset,,
,,Saeule rechts (Blende),Saeube right (aperture),AdBlue Tankdeckel abschließbar,AdBlue tank cap lockable,12.2019,12.2019,,
,,Saeule links (Blende),Satoe Links (aperture),Anhaengerkupplung,Trailer hitch,> 2mm,> 2mm,,
,,Saeule rechts (Abdeckkappe),Seate right (Cover cap),Heckleuchte,Tail light,1x,1x,,
,,Saeule links (Abdeckkappe),Satoe Links (Cover Cap),Seitenscheibendichtung hinten rechts,Side panel seal rear right,2x isofix,2x Isofix,,
,,Saeulen Bereich)),Saeulen area)),B,B,Einschluesse,Inclusion,,
,,erneuern +),Renew +),Scheinwerfer links,left headlight,Inkl. Sitze,Including seats,,
,,Sensor lose),Sensor loose),Innenverkleidung,interior panelling,Verkratzt,Scratch,,
,,Saeule rechts (Korrossion und),Saeube right (corrosion and),Reflektoren,Reflectors,"Delle sanft instandsetzen, Kratzer auslegen und polieren","Delle gently repair, lay scratch and polish",,
,,,,Stossfaenger vorn links,Shock Fenger front left,Abgeblaettert,Flaettered,,
,,,,Windlauf rechts,Windscare right,Motorhaube 30/10 ; Dach 90/10 ; Dach 3/30,Bonnet 30/10; Roof 90/10; Roof 3/30,,
,,,,Seitenscheibendichtung hinten links,Side panel seal rear left,& Parkdelle,Parking duty,,
,,,,Schließzylinder,Lock cylinder,04/19/22,04/19/22,,
,,,,Cupholder,Cupholder,"Glanzgedrehte Oberflaeche, Felge wurde repariert","Gloss-turned surface, rim was repaired",,
,,,,Dichtung,poetry,Und verkratzt,And scratch,,
,,,,3 Reifen,3 tires,ca 15 Dellen,about 15 dents,,
,,,,3 Leichtmetallfelgen,3 alloy wheels,3 Dellen,3 dents,,
,,,,Aschenbecher vorn,Ashtray front,05/2019,05/2019,,
,,,,Hauptuntersuchung,Main investigation,Korrosionsansatz,Corrosion,,
,,,,Schweller vorn,Sill,Sitzpolster,Seat pad,,
,,,,Sitzverstellung links,Seat adjustment left,inkl. OElwechsel,incl. Oil change,,
,,,,Elektro,Electric,Rissbildung,Cracking,,
,,,,Armauflage vorn,front armrest,Schleifriefen,Slurry,,
,,,,Parksensoren Mitte,Parking sensors center,Blende,cover,,
,,,,Getraenkehalter Mitte,Gear hole middle,Haare,hair,,
,,,,Stossfaenger mit Parktronic,Shock Fenger with Parktronic,3 mm,3 mm,,
,,,,Verkl. Hecktuer Hartfaser unten,Ease. Hecktu hard fiber down,Wasser steht in der Reserveradmulde,Water is in the Reserveradmulde,,
,,,,Schiebetuer mit Glasscheibe,Sliding door with glass,Radlauf rund geschliffen,Cycling round ground,,
,,,,Kennzeichenleuchte links,License plate light left,Sanft instandsetzen + SmartRepair,Soft repair + smartrepair,,
,,,,Radsatz komplett,Wheel set complete,Sommerraeder,Summer,,
,,,,Leichtmetallfelge hinten links (Sommerreifen. Keine rep. moeglich,Light metal rim rear left (summer tires. No rep. Possible,und rechts Schonbezug.,And right slip-up.,,
,,,,Leichtmetallfelge hinten rechts (Sommerreifen. Keine rep. moeglich,Light metal rim rear right (summer tires. No rep. Possible,2 stck. Winterraeder,2 pcs. Winterraeder,,
,,,,sonstige Schluessel,Other keys,Winterraeder,Winterraeder,,
,,,,Tuerscheibe hinten links,Tow wheel rear left,Lackrisse,Paint cracks,,
,,,,Tuerscheibe vorn links,Towers front left,Vordersitze,Front seats,,
,,,,Rollo Heckfenster,Rollo rear window,Ladekante innen,Loading edge inside,,
,,,,Laderaumverkleidung oben,Carrying lines,Heckklappe,Tailgate,,
,,,,Sonnenblende links,Sun visor left,3mm Restprofiltiefe,3mm residual profile depth,,
,,,,Abdeckung Scheinwerfer,Cover headlight,Korrosion,corrosion,,
,,,,Stahlrad,Steel wheel,Ummantelung,Sheathing,,
,,,,Hebel Sitzverstellung,Lever seat adjustment,"Re Continental, li Pirelli, 1x ern.","Re Continental, Li Pirelli, 1x Ern.",,
